nom,localisation,description,Type,meublé,location,date de location,disponible à l'achat,prix🥪,prix🐗,superficie,image,id
L'Ecumier,Plage des crabes,"“ L’Ecumier est un lieu idéal pour tous les amoureux des parties de s’crabes . 
Ses peintures rupestres 4K HD 480p sauront endiablées vos parties nocturnes ”",Caverne Familial,non,non,Periode de l'HDMouth,oui,1,1,20,https://www.spectable.com/image/original/I/grotte-prehistorique-de-foissac_564058.jpg,11
La Crimerie,Champ des marécages,“ On va appeler cette section… LE CRIMIER! “ ,Trou sans fenêtre,non,non,Periode de de la crimerie,oui,0,1,5,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Aurignac-grotte-01.JPG/800px-Aurignac-grotte-01.JPG,12
Le Glandu,Prairie du grand chêne,"“ OOhhh VIENS GLANDééHhééé, sous les Soleils des tropiquess!! “",Fosse Commune,oui,oui,La tombée des glands,non,0,4,12,https://cherry.img.pmdstatic.net/fit/https.3A.2F.2Fimg.2Emaxisciences.2Ecom.2Fs3.2Ffrgsd.2F1024.2Farcheologie.2Fdefault_2022-07-27_9b2d9f5e-45b3-4a4f-8721-b49aaea43a09.2Ejpeg/640x360/quality/80/tout-savoir-sur-les-grottes.jpg,13
Roule ta bosse,Champs Péri-Gourdin," “ Spacieux 80m²  de 200m² , ce lieu possède tous les atouts pour pour
 allier repos et chasses au gourdins”",Caverne Familial,oui,oui,Ornithorynque,oui,3,5,135,https://media-cdn.tripadvisor.com/media/photo-s/09/6c/26/98/grotte-de-spy.jpg,14
Grotte d'épargne,Forêt des écureuil,""" Mange un castormouth, sauve un chêne. Sauve un chêne, mange un gland.""",Caverne Familial,non,non,Eté de la canisticule,non,0,3,65,https://www.espace-prehistoire-labastide.fr/wp-content/gallery/le-parc/la-perte-2-new.jpg,15
L'Os-Au-Mont,Montagne des ours , “ Le marcassin ne s’associe pas avec le saumon “,Trou sans fenêtre,oui,oui,Quand les ours hiberne,non,0,3,35,https://www.frequence-sud.fr/admin/transfert/data/84843.jpg,16
Grotte hesque,Pic des tigres ,"” Le saviez-tu le tigrouth peut avaler jusqu’à 6.5 demi marcamouth 
dans un sandwich au fraisier “ ",Grotte fienté,non,non,Periode du géplufaim,oui,1,1,20,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTYR3vymZFuVr_i5BNqKjKdsc-GBkZAGkYlmw&s,17
L'Hache-huré,Prairie des zèbres,""" Tu savais qu'en fait, le zèbre était noir avec des rayures blanches 
et non l'inverse ?  Abonne toi pour un prochain tutomouth""",Trou sans fenêtre,non,non,Periode des gilets jaunes,oui,3,2,60,https://www.vallee-dordogne.com/app/uploads/ot-dordogne/2024/02/thumbs/Grottes-de-Lacave-640x640.webp,18
Le Cou-monté,Plateau des girafe,"“ Toi aussi tu t’es déjà demandé combien de temps une girafe met pour vomir?”",GrotteMoute,non,non,Periode du géplusdinspi,oui,4,1,25,https://www.francebleu.fr/s3/cruiser-production/2016/05/d6a0f801-aaf6-4731-a255-93670441bcb1/1200x680_cnrs_20160048_0007.jpg,19
Frigide Air,Montagne gelée," ”Disposant de sa clim naturelle, ce lieu saura vous rafraîchir pendant 
les fortes clavicules”",Fosse Commune,oui,oui,Tombée des premières neiges,non,0,1,2,https://www.directmountain.com/media/filer_public_thumbnails/filer_public/81/4d/814dc231-4b18-4628-89f0-6362f23dbdcb/cfakepathgrotte-prehistoire-varaime-diois-randonnee.jpg__1920x1280_q85_subsampling-2.jpg,20
